Round,Series Score,Winner,Loser,year
Conference Semi-Finals,4-2,Detroit Red Wings,San Jose Sharks,2007
Conference Semi-Finals,4-1,Ottawa Senators,New Jersey Devils,2007
Conference Semi-Finals,4-2,Buffalo Sabres,New York Rangers,2007
Conference Quarter-Finals,4-1,San Jose Sharks,Nashville Predators,2007
Conference Quarter-Finals,4-3,Vancouver Canucks,Dallas Stars,2007
Conference Quarter-Finals,4-1,Anaheim Ducks,Minnesota Wild,2007
Conference Quarter-Finals,4-2,Detroit Red Wings,Calgary Flames,2007
Conference Quarter-Finals,4-1,Ottawa Senators,Pittsburgh Penguins,2007
Conference Quarter-Finals,4-0,New York Rangers,Atlanta Thrashers,2007
Conference Quarter-Finals,4-2,New Jersey Devils,Tampa Bay Lightning,2007
Conference Quarter-Finals,4-1,Buffalo Sabres,New York Islanders,2007
Final,4-2,Detroit Red Wings,Pittsburgh Penguins,2008
Conference Finals,4-2,Detroit Red Wings,Dallas Stars,2008
Conference Finals,4-1,Pittsburgh Penguins,Philadelphia Flyers,2008
Conference Semi-Finals,4-2,Dallas Stars,San Jose Sharks,2008
Conference Semi-Finals,4-0,Detroit Red Wings,Colorado Avalanche,2008
Conference Semi-Finals,4-1,Pittsburgh Penguins,New York Rangers,2008
Conference Semi-Finals,4-1,Philadelphia Flyers,Montreal Canadiens,2008
Conference Quarter-Finals,4-2,Dallas Stars,Anaheim Ducks,2008
Conference Quarter-Finals,4-2,Colorado Avalanche,Minnesota Wild,2008
Conference Quarter-Finals,4-3,San Jose Sharks,Calgary Flames,2008
Conference Quarter-Finals,4-2,Detroit Red Wings,Nashville Predators,2008
Conference Quarter-Finals,4-1,New York Rangers,New Jersey Devils,2008
Conference Quarter-Finals,4-3,Philadelphia Flyers,Washington Capitals,2008
Conference Quarter-Finals,4-0,Pittsburgh Penguins,Ottawa Senators,2008
Conference Quarter-Finals,4-3,Montreal Canadiens,Boston Bruins,2008
Final,4-3,Pittsburgh Penguins,Detroit Red Wings,2009
Conference Finals,4-1,Detroit Red Wings,Chicago Blackhawks,2009
Conference Finals,4-0,Pittsburgh Penguins,Carolina Hurricanes,2009
Conference Semi-Finals,4-2,Chicago Blackhawks,Vancouver Canucks,2009
Conference Semi-Finals,4-3,Detroit Red Wings,Anaheim Ducks,2009
Conference Semi-Finals,4-3,Pittsburgh Penguins,Washington Capitals,2009
Conference Semi-Finals,4-3,Carolina Hurricanes,Boston Bruins,2009
Conference Quarter-Finals,4-2,Chicago Blackhawks,Calgary Flames,2009
Conference Quarter-Finals,4-0,Vancouver Canucks,St. Louis Blues,2009
Conference Quarter-Finals,4-0,Detroit Red Wings,Columbus Blue Jackets,2009
Conference Quarter-Finals,4-2,Anaheim Ducks,San Jose Sharks,2009
Conference Quarter-Finals,4-2,Pittsburgh Penguins,Philadelphia Flyers,2009
Conference Quarter-Finals,4-3,Carolina Hurricanes,New Jersey Devils,2009
Conference Quarter-Finals,4-3,Washington Capitals,New York Rangers,2009
Conference Quarter-Finals,4-0,Boston Bruins,Montreal Canadiens,2009
Final,4-2,Chicago Blackhawks,Philadelphia Flyers,2010
Conference Finals,4-0,Chicago Blackhawks,San Jose Sharks,2010
Conference Finals,4-1,Philadelphia Flyers,Montreal Canadiens,2010
Conference Semi-Finals,4-2,Chicago Blackhawks,Vancouver Canucks,2010
Conference Semi-Finals,4-1,San Jose Sharks,Detroit Red Wings,2010
Conference Semi-Finals,4-3,Philadelphia Flyers,Boston Bruins,2010
Conference Semi-Finals,4-3,Montreal Canadiens,Pittsburgh Penguins,2010
Conference Quarter-Finals,4-3,Detroit Red Wings,Phoenix Coyotes,2010
Conference Quarter-Finals,4-2,Vancouver Canucks,Los Angeles Kings,2010
Conference Quarter-Finals,4-2,Chicago Blackhawks,Nashville Predators,2010
Conference Quarter-Finals,4-2,San Jose Sharks,Colorado Avalanche,2010
Conference Quarter-Finals,4-2,Pittsburgh Penguins,Ottawa Senators,2010
Conference Quarter-Finals,4-2,Boston Bruins,Buffalo Sabres,2010
Conference Quarter-Finals,4-1,Philadelphia Flyers,New Jersey Devils,2010
Conference Quarter-Finals,4-3,Montreal Canadiens,Washington Capitals,2010
Final,4-3,Boston Bruins,Vancouver Canucks,2011
Conference Finals,4-1,Vancouver Canucks,San Jose Sharks,2011
Conference Finals,4-3,Boston Bruins,Tampa Bay Lightning,2011
Conference Semi-Finals,4-3,San Jose Sharks,Detroit Red Wings,2011
Conference Semi-Finals,4-2,Vancouver Canucks,Nashville Predators,2011
Conference Semi-Finals,4-0,Boston Bruins,Philadelphia Flyers,2011
Conference Semi-Finals,4-0,Tampa Bay Lightning,Washington Capitals,2011
Conference Quarter-Finals,4-2,Nashville Predators,Anaheim Ducks,2011
Conference Quarter-Finals,4-0,Detroit Red Wings,Phoenix Coyotes,2011
Conference Quarter-Finals,4-2,San Jose Sharks,Los Angeles Kings,2011
Conference Quarter-Finals,4-3,Vancouver Canucks,Chicago Blackhawks,2011
Conference Quarter-Finals,4-3,Tampa Bay Lightning,Pittsburgh Penguins,2011
Conference Quarter-Finals,4-3,Boston Bruins,Montreal Canadiens,2011
Conference Quarter-Finals,4-3,Philadelphia Flyers,Buffalo Sabres,2011
Conference Quarter-Finals,4-1,Washington Capitals,New York Rangers,2011
Final,4-2,Los Angeles Kings,New Jersey Devils,2012
Conference Finals,4-1,Los Angeles Kings,Phoenix Coyotes,2012
Conference Finals,4-2,New Jersey Devils,New York Rangers,2012
Conference Semi-Finals,4-1,Phoenix Coyotes,Nashville Predators,2012
Conference Semi-Finals,4-0,Los Angeles Kings,St. Louis Blues,2012
Conference Semi-Finals,4-1,New Jersey Devils,Philadelphia Flyers,2012
Conference Semi-Finals,4-3,New York Rangers,Washington Capitals,2012
Conference Quarter-Finals,4-1,Nashville Predators,Detroit Red Wings,2012
Conference Quarter-Finals,4-2,Phoenix Coyotes,Chicago Blackhawks,2012
Conference Quarter-Finals,4-1,St. Louis Blues,San Jose Sharks,2012
Conference Quarter-Finals,4-1,Los Angeles Kings,Vancouver Canucks,2012
Conference Quarter-Finals,4-2,Philadelphia Flyers,Pittsburgh Penguins,2012
Conference Quarter-Finals,4-3,New Jersey Devils,Florida Panthers,2012
Conference Quarter-Finals,4-3,Washington Capitals,Boston Bruins,2012
Conference Quarter-Finals,4-3,New York Rangers,Ottawa Senators,2012
Final,4-2,Chicago Blackhawks,Boston Bruins,2013
Conference Finals,4-1,Chicago Blackhawks,Los Angeles Kings,2013
Conference Finals,4-0,Boston Bruins,Pittsburgh Penguins,2013
Conference Semi-Finals,4-1,Pittsburgh Penguins,Ottawa Senators,2013
Conference Semi-Finals,4-1,Boston Bruins,New York Rangers,2013
Conference Semi-Finals,4-3,Chicago Blackhawks,Detroit Red Wings,2013
Conference Semi-Finals,4-3,Los Angeles Kings,San Jose Sharks,2013
Conference Quarter-Finals,4-2,Los Angeles Kings,St. Louis Blues,2013
Conference Quarter-Finals,4-0,San Jose Sharks,Vancouver Canucks,2013
Conference Quarter-Finals,4-3,Detroit Red Wings,Anaheim Ducks,2013
Conference Quarter-Finals,4-1,Chicago Blackhawks,Minnesota Wild,2013
Conference Quarter-Finals,4-3,Boston Bruins,Toronto Maple Leafs,2013
Conference Quarter-Finals,4-3,New York Rangers,Washington Capitals,2013
Conference Quarter-Finals,4-1,Ottawa Senators,Montreal Canadiens,2013
Conference Quarter-Finals,4-2,Pittsburgh Penguins,New York Islanders,2013
Final,4-1,Los Angeles Kings,New York Rangers,2014
Conference Finals,4-2,New York Rangers,Montreal Canadiens,2014
Conference Finals,4-3,Los Angeles Kings,Chicago Blackhawks,2014
Second Round,4-3,Los Angeles Kings,Anaheim Ducks,2014
Second Round,4-2,Chicago Blackhawks,Minnesota Wild,2014
Second Round,4-3,New York Rangers,Pittsburgh Penguins,2014
Second Round,4-3,Montreal Canadiens,Boston Bruins,2014
First Round,4-3,New York Rangers,Philadelphia Flyers,2014
First Round,4-2,Pittsburgh Penguins,Columbus Blue Jackets,2014
First Round,4-0,Montreal Canadiens,Tampa Bay Lightning,2014
First Round,4-1,Boston Bruins,Detroit Red Wings,2014
First Round,4-3,Los Angeles Kings,San Jose Sharks,2014
First Round,4-2,Anaheim Ducks,Dallas Stars,2014
First Round,4-2,Chicago Blackhawks,St. Louis Blues,2014
First Round,4-3,Minnesota Wild,Colorado Avalanche,2014
Final,4-2,Chicago Blackhawks,Tampa Bay Lightning,2015
Conference Finals,4-3,Tampa Bay Lightning,New York Rangers,2015
Conference Finals,4-3,Chicago Blackhawks,Anaheim Ducks,2015
Second Round,4-2,Tampa Bay Lightning,Montreal Canadiens,2015
Second Round,4-3,New York Rangers,Washington Capitals,2015
Second Round,4-1,Anaheim Ducks,Calgary Flames,2015
Second Round,4-0,Chicago Blackhawks,Minnesota Wild,2015
First Round,4-3,Washington Capitals,New York Islanders,2015
First Round,4-1,New York Rangers,Pittsburgh Penguins,2015
First Round,4-3,Tampa Bay Lightning,Detroit Red Wings,2015
First Round,4-2,Montreal Canadiens,Ottawa Senators,2015
First Round,4-2,Calgary Flames,Vancouver Canucks,2015
First Round,4-0,Anaheim Ducks,Winnipeg Jets,2015
First Round,4-2,Chicago Blackhawks,Nashville Predators,2015
First Round,4-2,Minnesota Wild,St. Louis Blues,2015
Final,4-2,Pittsburgh Penguins,San Jose Sharks,2016
Conference Finals,4-2,San Jose Sharks,St. Louis Blues,2016
Conference Finals,4-3,Pittsburgh Penguins,Tampa Bay Lightning,2016
Second Round,4-3,San Jose Sharks,Nashville Predators,2016
Second Round,4-3,St. Louis Blues,Dallas Stars,2016
Second Round,4-2,Pittsburgh Penguins,Washington Capitals,2016
Second Round,4-1,Tampa Bay Lightning,New York Islanders,2016
First Round,4-2,Washington Capitals,Philadelphia Flyers,2016
First Round,4-1,Pittsburgh Penguins,New York Rangers,2016
First Round,4-1,Tampa Bay Lightning,Detroit Red Wings,2016
First Round,4-2,New York Islanders,Florida Panthers,2016
First Round,4-3,Nashville Predators,Anaheim Ducks,2016
First Round,4-1,San Jose Sharks,Los Angeles Kings,2016
First Round,4-2,Dallas Stars,Minnesota Wild,2016
First Round,4-3,St. Louis Blues,Chicago Blackhawks,2016
Final,4-2,Pittsburgh Penguins,Nashville Predators,2017
Conference Finals,4-2,Nashville Predators,Anaheim Ducks,2017
Conference Finals,4-3,Pittsburgh Penguins,Ottawa Senators,2017
Second Round,4-2,Nashville Predators,St. Louis Blues,2017
Second Round,4-3,Anaheim Ducks,Edmonton Oilers,2017
Second Round,4-2,Ottawa Senators,New York Rangers,2017
Second Round,4-3,Pittsburgh Penguins,Washington Capitals,2017
First Round,4-1,Pittsburgh Penguins,Columbus Blue Jackets,2017
First Round,4-2,Washington Capitals,Toronto Maple Leafs,2017
First Round,4-2,Ottawa Senators,Boston Bruins,2017
First Round,4-2,New York Rangers,Montreal Canadiens,2017
First Round,4-2,Edmonton Oilers,San Jose Sharks,2017
First Round,4-0,Anaheim Ducks,Calgary Flames,2017
First Round,4-1,St. Louis Blues,Minnesota Wild,2017
First Round,4-0,Nashville Predators,Chicago Blackhawks,2017
Final,4-1,Washington Capitals,Vegas Golden Knights,2018
Conference Finals,4-1,Vegas Golden Knights,Winnipeg Jets,2018
Conference Finals,4-3,Washington Capitals,Tampa Bay Lightning,2018
Second Round,4-3,Winnipeg Jets,Nashville Predators,2018
Second Round,4-2,Vegas Golden Knights,San Jose Sharks,2018
Second Round,4-1,Tampa Bay Lightning,Boston Bruins,2018
Second Round,4-2,Washington Capitals,Pittsburgh Penguins,2018
First Round,4-2,Pittsburgh Penguins,Philadelphia Flyers,2018
First Round,4-3,Boston Bruins,Toronto Maple Leafs,2018
First Round,4-2,Washington Capitals,Columbus Blue Jackets,2018
First Round,4-1,Tampa Bay Lightning,New Jersey Devils,2018
First Round,4-0,San Jose Sharks,Anaheim Ducks,2018
First Round,4-1,Winnipeg Jets,Minnesota Wild,2018
First Round,4-0,Vegas Golden Knights,Los Angeles Kings,2018
First Round,4-2,Nashville Predators,Colorado Avalanche,2018
Final,4-3,St. Louis Blues,Boston Bruins,2019
Conference Finals,4-2,St. Louis Blues,San Jose Sharks,2019
Conference Finals,4-0,Boston Bruins,Carolina Hurricanes,2019
Second Round,4-0,Carolina Hurricanes,New York Islanders,2019
Second Round,4-3,St. Louis Blues,Dallas Stars,2019
Second Round,4-3,San Jose Sharks,Colorado Avalanche,2019
Second Round,4-2,Boston Bruins,Columbus Blue Jackets,2019
First Round,4-0,New York Islanders,Pittsburgh Penguins,2019
First Round,4-3,Boston Bruins,Toronto Maple Leafs,2019
First Round,4-3,Carolina Hurricanes,Washington Capitals,2019
First Round,4-0,Columbus Blue Jackets,Tampa Bay Lightning,2019
First Round,4-3,San Jose Sharks,Vegas Golden Knights,2019
First Round,4-2,St. Louis Blues,Winnipeg Jets,2019
First Round,4-1,Colorado Avalanche,Calgary Flames,2019
First Round,4-2,Dallas Stars,Nashville Predators,2019
Final,4-2,Tampa Bay Lightning,Dallas Stars,2020
Conference Finals,4-1,Dallas Stars,Vegas Golden Knights,2020
Conference Finals,4-2,Tampa Bay Lightning,New York Islanders,2020
Second Round,4-3,Vegas Golden Knights,Vancouver Canucks,2020
Second Round,4-3,Dallas Stars,Colorado Avalanche,2020
Second Round,4-3,New York Islanders,Philadelphia Flyers,2020
Second Round,4-1,Tampa Bay Lightning,Boston Bruins,2020
First Round,4-2,Dallas Stars,Calgary Flames,2020
First Round,4-2,Vancouver Canucks,St. Louis Blues,2020
First Round,4-1,Colorado Avalanche,Arizona Coyotes,2020
First Round,4-1,Vegas Golden Knights,Chicago Blackhawks,2020
First Round,4-1,Tampa Bay Lightning,Columbus Blue Jackets,2020
First Round,4-1,New York Islanders,Washington Capitals,2020
First Round,4-1,Boston Bruins,Carolina Hurricanes,2020
First Round,4-2,Philadelphia Flyers,Montreal Canadiens,2020
Qualifying Round,3-1,Calgary Flames,Winnipeg Jets,2020
Qualifying Round,3-1,Vancouver Canucks,Minnesota Wild,2020
Qualifying Round,3-1,Arizona Coyotes,Nashville Predators,2020
Qualifying Round,3-1,Chicago Blackhawks,Edmonton Oilers,2020
Qualifying Round,3-2,Columbus Blue Jackets,Toronto Maple Leafs,2020
Qualifying Round,3-1,New York Islanders,Florida Panthers,2020
Qualifying Round,3-0,Carolina Hurricanes,New York Rangers,2020
Qualifying Round,3-1,Montreal Canadiens,Pittsburgh Penguins,2020
Final,4-1,Tampa Bay Lightning,Montreal Canadiens,2021
Semi-Finals,4-2,Montreal Canadiens,Vegas Golden Knights,2021
Semi-Finals,4-3,Tampa Bay Lightning,New York Islanders,2021
Second Round,4-0,Montreal Canadiens,Winnipeg Jets,2021
Second Round,4-1,Tampa Bay Lightning,Carolina Hurricanes,2021
Second Round,4-2,Vegas Golden Knights,Colorado Avalanche,2021
Second Round,4-2,New York Islanders,Boston Bruins,2021
First Round,4-1,Boston Bruins,Washington Capitals,2021
First Round,4-2,New York Islanders,Pittsburgh Penguins,2021
First Round,4-0,Winnipeg Jets,Edmonton Oilers,2021
First Round,4-3,Montreal Canadiens,Toronto Maple Leafs,2021
First Round,4-2,Tampa Bay Lightning,Florida Panthers,2021
First Round,4-2,Carolina Hurricanes,Nashville Predators,2021
First Round,4-3,Vegas Golden Knights,Minnesota Wild,2021
First Round,4-0,Colorado Avalanche,St. Louis Blues,2021
Final,4-2,Colorado Avalanche,Tampa Bay Lightning,2022
Conference Finals,4-2,Tampa Bay Lightning,New York Rangers,2022
Conference Finals,4-0,Colorado Avalanche,Edmonton Oilers,2022
Second Round,4-1,Edmonton Oilers,Calgary Flames,2022
Second Round,4-2,Colorado Avalanche,St. Louis Blues,2022
Second Round,4-3,New York Rangers,Carolina Hurricanes,2022
Second Round,4-0,Tampa Bay Lightning,Florida Panthers,2022
First Round,4-3,Calgary Flames,Dallas Stars,2022
First Round,4-0,Colorado Avalanche,Nashville Predators,2022
First Round,4-2,Florida Panthers,Washington Capitals,2022
First Round,4-3,New York Rangers,Pittsburgh Penguins,2022
First Round,4-3,Edmonton Oilers,Los Angeles Kings,2022
First Round,4-2,St. Louis Blues,Minnesota Wild,2022
First Round,4-3,Tampa Bay Lightning,Toronto Maple Leafs,2022
First Round,4-3,Carolina Hurricanes,Boston Bruins,2022
Final,4-1,Vegas Golden Knights,Florida Panthers,2023
Conference Finals,4-2,Vegas Golden Knights,Dallas Stars,2023
Conference Finals,4-0,Florida Panthers,Carolina Hurricanes,2023
Second Round,4-2,Vegas Golden Knights,Edmonton Oilers,2023
Second Round,4-3,Dallas Stars,Seattle Kraken,2023
Second Round,4-1,Florida Panthers,Toronto Maple Leafs,2023
Second Round,4-1,Carolina Hurricanes,New Jersey Devils,2023
First Round,4-2,Edmonton Oilers,Los Angeles Kings,2023
First Round,4-1,Vegas Golden Knights,Winnipeg Jets,2023
First Round,4-2,Dallas Stars,Minnesota Wild,2023
First Round,4-3,Seattle Kraken,Colorado Avalanche,2023
First Round,4-3,New Jersey Devils,New York Rangers,2023
First Round,4-2,Carolina Hurricanes,New York Islanders,2023
First Round,4-2,Toronto Maple Leafs,Tampa Bay Lightning,2023
First Round,4-3,Florida Panthers,Boston Bruins,2023
