Round,Winner,Loser,Series Score,year
Eastern Conference Semifinals,Detroit Pistons,Cleveland Cavaliers,(4-3),2006
Eastern Conference Semifinals,Miami Heat,New Jersey Nets,(4-1),2006
Western Conference Semifinals,Dallas Mavericks,San Antonio Spurs,(4-3),2006
Western Conference Semifinals,Phoenix Suns,Los Angeles Clippers,(4-3),2006
Eastern Conference First Round,Cleveland Cavaliers,Washington Wizards,(4-2),2006
Eastern Conference First Round,Detroit Pistons,Milwaukee Bucks,(4-1),2006
Eastern Conference First Round,Miami Heat,Chicago Bulls,(4-2),2006
Eastern Conference First Round,New Jersey Nets,Indiana Pacers,(4-2),2006
Western Conference First Round,Dallas Mavericks,Memphis Grizzlies,(4-0),2006
Western Conference First Round,Los Angeles Clippers,Denver Nuggets,(4-1),2006
Western Conference First Round,Phoenix Suns,Los Angeles Lakers,(4-3),2006
Western Conference First Round,San Antonio Spurs,Sacramento Kings,(4-2),2006
Finals,San Antonio Spurs,Cleveland Cavaliers,(4-0),2007
Eastern Conference Finals,Cleveland Cavaliers,Detroit Pistons,(4-2),2007
Western Conference Finals,San Antonio Spurs,Utah Jazz,(4-1),2007
Eastern Conference Semifinals,Cleveland Cavaliers,New Jersey Nets,(4-2),2007
Eastern Conference Semifinals,Detroit Pistons,Chicago Bulls,(4-2),2007
Western Conference Semifinals,San Antonio Spurs,Phoenix Suns,(4-2),2007
Western Conference Semifinals,Utah Jazz,Golden State Warriors,(4-1),2007
Eastern Conference First Round,Chicago Bulls,Miami Heat,(4-0),2007
Eastern Conference First Round,Cleveland Cavaliers,Washington Wizards,(4-0),2007
Eastern Conference First Round,Detroit Pistons,Orlando Magic,(4-0),2007
Eastern Conference First Round,New Jersey Nets,Toronto Raptors,(4-2),2007
Western Conference First Round,Golden State Warriors,Dallas Mavericks,(4-2),2007
Western Conference First Round,Phoenix Suns,Los Angeles Lakers,(4-1),2007
Western Conference First Round,San Antonio Spurs,Denver Nuggets,(4-1),2007
Western Conference First Round,Utah Jazz,Houston Rockets,(4-3),2007
Finals,Boston Celtics,Los Angeles Lakers,(4-2),2008
Eastern Conference Finals,Boston Celtics,Detroit Pistons,(4-2),2008
Western Conference Finals,Los Angeles Lakers,San Antonio Spurs,(4-1),2008
Eastern Conference Semifinals,Boston Celtics,Cleveland Cavaliers,(4-3),2008
Eastern Conference Semifinals,Detroit Pistons,Orlando Magic,(4-1),2008
Western Conference Semifinals,Los Angeles Lakers,Utah Jazz,(4-2),2008
Western Conference Semifinals,San Antonio Spurs,New Orleans Hornets,(4-3),2008
Eastern Conference First Round,Boston Celtics,Atlanta Hawks,(4-3),2008
Eastern Conference First Round,Cleveland Cavaliers,Washington Wizards,(4-2),2008
Eastern Conference First Round,Detroit Pistons,Philadelphia 76ers,(4-2),2008
Eastern Conference First Round,Orlando Magic,Toronto Raptors,(4-1),2008
Western Conference First Round,Los Angeles Lakers,Denver Nuggets,(4-0),2008
Western Conference First Round,New Orleans Hornets,Dallas Mavericks,(4-1),2008
Western Conference First Round,San Antonio Spurs,Phoenix Suns,(4-1),2008
Western Conference First Round,Utah Jazz,Houston Rockets,(4-2),2008
Finals,Los Angeles Lakers,Orlando Magic,(4-1),2009
Eastern Conference Finals,Orlando Magic,Cleveland Cavaliers,(4-2),2009
Western Conference Finals,Los Angeles Lakers,Denver Nuggets,(4-2),2009
Eastern Conference Semifinals,Cleveland Cavaliers,Atlanta Hawks,(4-0),2009
Eastern Conference Semifinals,Orlando Magic,Boston Celtics,(4-3),2009
Western Conference Semifinals,Denver Nuggets,Dallas Mavericks,(4-1),2009
Western Conference Semifinals,Los Angeles Lakers,Houston Rockets,(4-3),2009
Eastern Conference First Round,Atlanta Hawks,Miami Heat,(4-3),2009
Eastern Conference First Round,Boston Celtics,Chicago Bulls,(4-3),2009
Eastern Conference First Round,Cleveland Cavaliers,Detroit Pistons,(4-0),2009
Eastern Conference First Round,Orlando Magic,Philadelphia 76ers,(4-2),2009
Western Conference First Round,Dallas Mavericks,San Antonio Spurs,(4-1),2009
Western Conference First Round,Denver Nuggets,New Orleans Hornets,(4-1),2009
Western Conference First Round,Houston Rockets,Portland Trail Blazers,(4-2),2009
Western Conference First Round,Los Angeles Lakers,Utah Jazz,(4-1),2009
Finals,Los Angeles Lakers,Boston Celtics,(4-3),2010
Eastern Conference Finals,Boston Celtics,Orlando Magic,(4-2),2010
Western Conference Finals,Los Angeles Lakers,Phoenix Suns,(4-2),2010
Eastern Conference Semifinals,Boston Celtics,Cleveland Cavaliers,(4-2),2010
Eastern Conference Semifinals,Orlando Magic,Atlanta Hawks,(4-0),2010
Western Conference Semifinals,Los Angeles Lakers,Utah Jazz,(4-0),2010
Western Conference Semifinals,Phoenix Suns,San Antonio Spurs,(4-0),2010
Eastern Conference First Round,Atlanta Hawks,Milwaukee Bucks,(4-3),2010
Eastern Conference First Round,Boston Celtics,Miami Heat,(4-1),2010
Eastern Conference First Round,Cleveland Cavaliers,Chicago Bulls,(4-1),2010
Eastern Conference First Round,Orlando Magic,Charlotte Bobcats,(4-0),2010
Western Conference First Round,Los Angeles Lakers,Oklahoma City Thunder,(4-2),2010
Western Conference First Round,Phoenix Suns,Portland Trail Blazers,(4-2),2010
Western Conference First Round,San Antonio Spurs,Dallas Mavericks,(4-2),2010
Western Conference First Round,Utah Jazz,Denver Nuggets,(4-2),2010
Finals,Dallas Mavericks,Miami Heat,(4-2),2011
Eastern Conference Finals,Miami Heat,Chicago Bulls,(4-1),2011
Western Conference Finals,Dallas Mavericks,Oklahoma City Thunder,(4-1),2011
Eastern Conference Semifinals,Chicago Bulls,Atlanta Hawks,(4-2),2011
Eastern Conference Semifinals,Miami Heat,Boston Celtics,(4-1),2011
Western Conference Semifinals,Dallas Mavericks,Los Angeles Lakers,(4-0),2011
Western Conference Semifinals,Oklahoma City Thunder,Memphis Grizzlies,(4-3),2011
Eastern Conference First Round,Atlanta Hawks,Orlando Magic,(4-2),2011
Eastern Conference First Round,Boston Celtics,New York Knicks,(4-0),2011
Eastern Conference First Round,Chicago Bulls,Indiana Pacers,(4-1),2011
Eastern Conference First Round,Miami Heat,Philadelphia 76ers,(4-1),2011
Western Conference First Round,Dallas Mavericks,Portland Trail Blazers,(4-2),2011
Western Conference First Round,Los Angeles Lakers,New Orleans Hornets,(4-2),2011
Western Conference First Round,Memphis Grizzlies,San Antonio Spurs,(4-2),2011
Western Conference First Round,Oklahoma City Thunder,Denver Nuggets,(4-1),2011
Finals,Miami Heat,Oklahoma City Thunder,(4-1),2012
Eastern Conference Finals,Miami Heat,Boston Celtics,(4-3),2012
Western Conference Finals,Oklahoma City Thunder,San Antonio Spurs,(4-2),2012
Eastern Conference Semifinals,Boston Celtics,Philadelphia 76ers,(4-3),2012
Eastern Conference Semifinals,Miami Heat,Indiana Pacers,(4-2),2012
Western Conference Semifinals,Oklahoma City Thunder,Los Angeles Lakers,(4-1),2012
Western Conference Semifinals,San Antonio Spurs,Los Angeles Clippers,(4-0),2012
Eastern Conference First Round,Boston Celtics,Atlanta Hawks,(4-2),2012
Eastern Conference First Round,Indiana Pacers,Orlando Magic,(4-1),2012
Eastern Conference First Round,Miami Heat,New York Knicks,(4-1),2012
Eastern Conference First Round,Philadelphia 76ers,Chicago Bulls,(4-2),2012
Western Conference First Round,Los Angeles Clippers,Memphis Grizzlies,(4-3),2012
Western Conference First Round,Los Angeles Lakers,Denver Nuggets,(4-3),2012
Western Conference First Round,Oklahoma City Thunder,Dallas Mavericks,(4-0),2012
Western Conference First Round,San Antonio Spurs,Utah Jazz,(4-0),2012
Finals,Miami Heat,San Antonio Spurs,(4-3),2013
Eastern Conference Finals,Miami Heat,Indiana Pacers,(4-3),2013
Western Conference Finals,San Antonio Spurs,Memphis Grizzlies,(4-0),2013
Eastern Conference Semifinals,Indiana Pacers,New York Knicks,(4-2),2013
Eastern Conference Semifinals,Miami Heat,Chicago Bulls,(4-1),2013
Western Conference Semifinals,Memphis Grizzlies,Oklahoma City Thunder,(4-1),2013
Western Conference Semifinals,San Antonio Spurs,Golden State Warriors,(4-2),2013
Eastern Conference First Round,Chicago Bulls,Brooklyn Nets,(4-3),2013
Eastern Conference First Round,Indiana Pacers,Atlanta Hawks,(4-2),2013
Eastern Conference First Round,Miami Heat,Milwaukee Bucks,(4-0),2013
Eastern Conference First Round,New York Knicks,Boston Celtics,(4-2),2013
Western Conference First Round,Golden State Warriors,Denver Nuggets,(4-2),2013
Western Conference First Round,Memphis Grizzlies,Los Angeles Clippers,(4-2),2013
Western Conference First Round,Oklahoma City Thunder,Houston Rockets,(4-2),2013
Western Conference First Round,San Antonio Spurs,Los Angeles Lakers,(4-0),2013
Finals,San Antonio Spurs,Miami Heat,(4-1),2014
Eastern Conference Finals,Miami Heat,Indiana Pacers,(4-2),2014
Western Conference Finals,San Antonio Spurs,Oklahoma City Thunder,(4-2),2014
Eastern Conference Semifinals,Indiana Pacers,Washington Wizards,(4-2),2014
Eastern Conference Semifinals,Miami Heat,Brooklyn Nets,(4-1),2014
Western Conference Semifinals,Oklahoma City Thunder,Los Angeles Clippers,(4-2),2014
Western Conference Semifinals,San Antonio Spurs,Portland Trail Blazers,(4-1),2014
Eastern Conference First Round,Brooklyn Nets,Toronto Raptors,(4-3),2014
Eastern Conference First Round,Indiana Pacers,Atlanta Hawks,(4-3),2014
Eastern Conference First Round,Miami Heat,Charlotte Bobcats,(4-0),2014
Eastern Conference First Round,Washington Wizards,Chicago Bulls,(4-1),2014
Western Conference First Round,Los Angeles Clippers,Golden State Warriors,(4-3),2014
Western Conference First Round,Oklahoma City Thunder,Memphis Grizzlies,(4-3),2014
Western Conference First Round,Portland Trail Blazers,Houston Rockets,(4-2),2014
Western Conference First Round,San Antonio Spurs,Dallas Mavericks,(4-3),2014
Finals,Golden State Warriors,Cleveland Cavaliers,(4-2),2015
Eastern Conference Finals,Cleveland Cavaliers,Atlanta Hawks,(4-0),2015
Western Conference Finals,Golden State Warriors,Houston Rockets,(4-1),2015
Eastern Conference Semifinals,Atlanta Hawks,Washington Wizards,(4-2),2015
Eastern Conference Semifinals,Cleveland Cavaliers,Chicago Bulls,(4-2),2015
Western Conference Semifinals,Golden State Warriors,Memphis Grizzlies,(4-2),2015
Western Conference Semifinals,Houston Rockets,Los Angeles Clippers,(4-3),2015
Eastern Conference First Round,Atlanta Hawks,Brooklyn Nets,(4-2),2015
Eastern Conference First Round,Chicago Bulls,Milwaukee Bucks,(4-2),2015
Eastern Conference First Round,Cleveland Cavaliers,Boston Celtics,(4-0),2015
Eastern Conference First Round,Washington Wizards,Toronto Raptors,(4-0),2015
Western Conference First Round,Golden State Warriors,New Orleans Pelicans,(4-0),2015
Western Conference First Round,Houston Rockets,Dallas Mavericks,(4-1),2015
Western Conference First Round,Los Angeles Clippers,San Antonio Spurs,(4-3),2015
Western Conference First Round,Memphis Grizzlies,Portland Trail Blazers,(4-1),2015
Finals,Cleveland Cavaliers,Golden State Warriors,(4-3),2016
Eastern Conference Finals,Cleveland Cavaliers,Toronto Raptors,(4-2),2016
Western Conference Finals,Golden State Warriors,Oklahoma City Thunder,(4-3),2016
Eastern Conference Semifinals,Cleveland Cavaliers,Atlanta Hawks,(4-0),2016
Eastern Conference Semifinals,Toronto Raptors,Miami Heat,(4-3),2016
Western Conference Semifinals,Golden State Warriors,Portland Trail Blazers,(4-1),2016
Western Conference Semifinals,Oklahoma City Thunder,San Antonio Spurs,(4-2),2016
Eastern Conference First Round,Atlanta Hawks,Boston Celtics,(4-2),2016
Eastern Conference First Round,Cleveland Cavaliers,Detroit Pistons,(4-0),2016
Eastern Conference First Round,Miami Heat,Charlotte Hornets,(4-3),2016
Eastern Conference First Round,Toronto Raptors,Indiana Pacers,(4-3),2016
Western Conference First Round,Golden State Warriors,Houston Rockets,(4-1),2016
Western Conference First Round,Oklahoma City Thunder,Dallas Mavericks,(4-1),2016
Western Conference First Round,Portland Trail Blazers,Los Angeles Clippers,(4-2),2016
Western Conference First Round,San Antonio Spurs,Memphis Grizzlies,(4-0),2016
Finals,Golden State Warriors,Cleveland Cavaliers,(4-1),2017
Eastern Conference Finals,Cleveland Cavaliers,Boston Celtics,(4-1),2017
Western Conference Finals,Golden State Warriors,San Antonio Spurs,(4-0),2017
Eastern Conference Semifinals,Boston Celtics,Washington Wizards,(4-3),2017
Eastern Conference Semifinals,Cleveland Cavaliers,Toronto Raptors,(4-0),2017
Western Conference Semifinals,Golden State Warriors,Utah Jazz,(4-0),2017
Western Conference Semifinals,San Antonio Spurs,Houston Rockets,(4-2),2017
Eastern Conference First Round,Boston Celtics,Chicago Bulls,(4-2),2017
Eastern Conference First Round,Cleveland Cavaliers,Indiana Pacers,(4-0),2017
Eastern Conference First Round,Toronto Raptors,Milwaukee Bucks,(4-2),2017
Eastern Conference First Round,Washington Wizards,Atlanta Hawks,(4-2),2017
Western Conference First Round,Golden State Warriors,Portland Trail Blazers,(4-0),2017
Western Conference First Round,Houston Rockets,Oklahoma City Thunder,(4-1),2017
Western Conference First Round,San Antonio Spurs,Memphis Grizzlies,(4-2),2017
Western Conference First Round,Utah Jazz,Los Angeles Clippers,(4-3),2017
Finals,Golden State Warriors,Cleveland Cavaliers,(4-0),2018
Eastern Conference Finals,Cleveland Cavaliers,Boston Celtics,(4-3),2018
Western Conference Finals,Golden State Warriors,Houston Rockets,(4-3),2018
Eastern Conference Semifinals,Boston Celtics,Philadelphia 76ers,(4-1),2018
Eastern Conference Semifinals,Cleveland Cavaliers,Toronto Raptors,(4-0),2018
Western Conference Semifinals,Golden State Warriors,New Orleans Pelicans,(4-1),2018
Western Conference Semifinals,Houston Rockets,Utah Jazz,(4-1),2018
Eastern Conference First Round,Boston Celtics,Milwaukee Bucks,(4-3),2018
Eastern Conference First Round,Cleveland Cavaliers,Indiana Pacers,(4-3),2018
Eastern Conference First Round,Philadelphia 76ers,Miami Heat,(4-1),2018
Eastern Conference First Round,Toronto Raptors,Washington Wizards,(4-2),2018
Western Conference First Round,Golden State Warriors,San Antonio Spurs,(4-1),2018
Western Conference First Round,Houston Rockets,Minnesota Timberwolves,(4-1),2018
Western Conference First Round,New Orleans Pelicans,Portland Trail Blazers,(4-0),2018
Western Conference First Round,Utah Jazz,Oklahoma City Thunder,(4-2),2018
Finals,Toronto Raptors,Golden State Warriors,(4-2),2019
Eastern Conference Finals,Toronto Raptors,Milwaukee Bucks,(4-2),2019
Western Conference Finals,Golden State Warriors,Portland Trail Blazers,(4-0),2019
Eastern Conference Semifinals,Milwaukee Bucks,Boston Celtics,(4-1),2019
Eastern Conference Semifinals,Toronto Raptors,Philadelphia 76ers,(4-3),2019
Western Conference Semifinals,Golden State Warriors,Houston Rockets,(4-2),2019
Western Conference Semifinals,Portland Trail Blazers,Denver Nuggets,(4-3),2019
Eastern Conference First Round,Boston Celtics,Indiana Pacers,(4-0),2019
Eastern Conference First Round,Milwaukee Bucks,Detroit Pistons,(4-0),2019
Eastern Conference First Round,Philadelphia 76ers,Brooklyn Nets,(4-1),2019
Eastern Conference First Round,Toronto Raptors,Orlando Magic,(4-1),2019
Western Conference First Round,Denver Nuggets,San Antonio Spurs,(4-3),2019
Western Conference First Round,Golden State Warriors,Los Angeles Clippers,(4-2),2019
Western Conference First Round,Houston Rockets,Utah Jazz,(4-1),2019
Western Conference First Round,Portland Trail Blazers,Oklahoma City Thunder,(4-1),2019
Finals,Los Angeles Lakers,Miami Heat,(4-2),2020
Eastern Conference Finals,Miami Heat,Boston Celtics,(4-2),2020
Western Conference Finals,Los Angeles Lakers,Denver Nuggets,(4-1),2020
Eastern Conference Semifinals,Boston Celtics,Toronto Raptors,(4-3),2020
Eastern Conference Semifinals,Miami Heat,Milwaukee Bucks,(4-1),2020
Western Conference Semifinals,Denver Nuggets,Los Angeles Clippers,(4-3),2020
Western Conference Semifinals,Los Angeles Lakers,Houston Rockets,(4-1),2020
Eastern Conference First Round,Boston Celtics,Philadelphia 76ers,(4-0),2020
Eastern Conference First Round,Miami Heat,Indiana Pacers,(4-0),2020
Eastern Conference First Round,Milwaukee Bucks,Orlando Magic,(4-1),2020
Eastern Conference First Round,Toronto Raptors,Brooklyn Nets,(4-0),2020
Western Conference First Round,Denver Nuggets,Utah Jazz,(4-3),2020
Western Conference First Round,Houston Rockets,Oklahoma City Thunder,(4-3),2020
Western Conference First Round,Los Angeles Clippers,Dallas Mavericks,(4-2),2020
Western Conference First Round,Los Angeles Lakers,Portland Trail Blazers,(4-1),2020
Finals,Milwaukee Bucks,Phoenix Suns,(4-2),2021
Eastern Conference Finals,Milwaukee Bucks,Atlanta Hawks,(4-2),2021
Western Conference Finals,Phoenix Suns,Los Angeles Clippers,(4-2),2021
Eastern Conference Semifinals,Atlanta Hawks,Philadelphia 76ers,(4-3),2021
Eastern Conference Semifinals,Milwaukee Bucks,Brooklyn Nets,(4-3),2021
Western Conference Semifinals,Los Angeles Clippers,Utah Jazz,(4-2),2021
Western Conference Semifinals,Phoenix Suns,Denver Nuggets,(4-0),2021
Eastern Conference First Round,Atlanta Hawks,New York Knicks,(4-1),2021
Eastern Conference First Round,Brooklyn Nets,Boston Celtics,(4-1),2021
Eastern Conference First Round,Milwaukee Bucks,Miami Heat,(4-0),2021
Eastern Conference First Round,Philadelphia 76ers,Washington Wizards,(4-1),2021
Western Conference First Round,Denver Nuggets,Portland Trail Blazers,(4-2),2021
Western Conference First Round,Los Angeles Clippers,Dallas Mavericks,(4-3),2021
Western Conference First Round,Phoenix Suns,Los Angeles Lakers,(4-2),2021
Western Conference First Round,Utah Jazz,Memphis Grizzlies,(4-1),2021
Finals,Golden State Warriors,Boston Celtics,(4-2),2022
Eastern Conference Finals,Boston Celtics,Miami Heat,(4-3),2022
Western Conference Finals,Golden State Warriors,Dallas Mavericks,(4-1),2022
Eastern Conference Semifinals,Boston Celtics,Milwaukee Bucks,(4-3),2022
Eastern Conference Semifinals,Miami Heat,Philadelphia 76ers,(4-2),2022
Western Conference Semifinals,Dallas Mavericks,Phoenix Suns,(4-3),2022
Western Conference Semifinals,Golden State Warriors,Memphis Grizzlies,(4-2),2022
Eastern Conference First Round,Boston Celtics,Brooklyn Nets,(4-0),2022
Eastern Conference First Round,Miami Heat,Atlanta Hawks,(4-1),2022
Eastern Conference First Round,Milwaukee Bucks,Chicago Bulls,(4-1),2022
Eastern Conference First Round,Philadelphia 76ers,Toronto Raptors,(4-2),2022
Western Conference First Round,Dallas Mavericks,Utah Jazz,(4-2),2022
Western Conference First Round,Golden State Warriors,Denver Nuggets,(4-1),2022
Western Conference First Round,Memphis Grizzlies,Minnesota Timberwolves,(4-2),2022
Western Conference First Round,Phoenix Suns,New Orleans Pelicans,(4-2),2022
Finals,Denver Nuggets,Miami Heat,(4-1),2023
Eastern Conference Finals,Miami Heat,Boston Celtics,(4-3),2023
Western Conference Finals,Denver Nuggets,Los Angeles Lakers,(4-0),2023
Eastern Conference Semifinals,Boston Celtics,Philadelphia 76ers,(4-3),2023
Eastern Conference Semifinals,Miami Heat,New York Knicks,(4-2),2023
Western Conference Semifinals,Denver Nuggets,Phoenix Suns,(4-2),2023
Western Conference Semifinals,Los Angeles Lakers,Golden State Warriors,(4-2),2023
Eastern Conference First Round,Boston Celtics,Atlanta Hawks,(4-2),2023
Eastern Conference First Round,Miami Heat,Milwaukee Bucks,(4-1),2023
Eastern Conference First Round,New York Knicks,Cleveland Cavaliers,(4-1),2023
Eastern Conference First Round,Philadelphia 76ers,Brooklyn Nets,(4-0),2023
Western Conference First Round,Denver Nuggets,Minnesota Timberwolves,(4-1),2023
Western Conference First Round,Golden State Warriors,Sacramento Kings,(4-3),2023
Western Conference First Round,Los Angeles Lakers,Memphis Grizzlies,(4-2),2023
Western Conference First Round,Phoenix Suns,Los Angeles Clippers,(4-1),2023
